course_code,course_name,department,total_seats,instructor_rating,is_elective,semester,registration_start,semester_start,actual_hours_to_fill
CS-101-A,Intro to Programming,CS,40,4.5,False,F24,2024-06-10 09:00:00,2024-07-01,15
CS-101-B,Intro to Programming,CS,45,3.8,False,F24,2024-06-10 09:00:00,2024-07-01,48
CS-201-A,Data Structures,CS,35,4.8,False,F24,2024-06-10 09:00:00,2024-07-01,8
CS-201-B,Data Structures,CS,35,,False,F24,2024-06-10 09:00:00,2024-07-01,36
MATH-101-A,Calculus I,MATH,50,4.2,False,F24,2024-06-10 09:00:00,2024-07-01,24
MATH-101-B,Calculus I,MATH,50,2.5,False,F24,2024-06-10 09:00:00,2024-07-01,140
LIT-150-A,Gothic Literature,HUM,30,4.9,True,F24,2024-06-10 09:00:00,2024-07-01,5
HIST-101-A,World History,HUM,60,3.2,False,F24,2024-06-10 09:00:00,2024-07-01,96
CHEM-101-A,General Chemistry,SCI,80,,False,F24,2024-06-10 09:00:00,2024-07-01,72
CHEM-101-B,General Chemistry,SCI,80,3.0,False,F24,2024-06-10 09:00:00,2024-07-01,150
CS-301-A,Operating Systems,CS,30,4.7,False,S25,2025-11-05 09:00:00,2025-11-20,3
CS-302-A,Database Systems,CS,40,4.0,False,S25,2025-11-05 09:00:00,2025-11-20,12
CS-350-A,Web Development,CS,25,,True,S25,2025-11-05 09:00:00,2025-11-20,18
IT-105-A,IT Systems,IT,50,3.5,False,S25,2025-11-05 09:00:00,2025-11-20,72
IT-210-A,Network Basics,IT,45,2.8,False,S25,2025-11-05 09:00:00,2025-11-20,110
IT-305-A,Cyber Security,IT,30,4.6,True,S25,2025-11-05 09:00:00,2025-11-20,6
EC-101-A,Basic Electronics,EC,60,3.9,False,S25,2025-11-05 09:00:00,2025-11-20,80
EC-202-A,Signal Processing,EC,40,2.1,False,S25,2025-11-05 09:00:00,2025-11-20,195
EC-315-A,Embedded Systems,EC,30,4.4,True,S25,2025-11-05 09:00:00,2025-11-20,14
MECH-102-A,Engineering Drawing,MECH,50,1.8,False,S25,2025-11-05 09:00:00,2025-11-20,230
MECH-201-A,Thermodynamics,MECH,40,3.4,False,S25,2025-11-05 09:00:00,2025-11-20,145
MECH-303-A,Fluid Mechanics,MECH,35,,False,S25,2025-11-05 09:00:00,2025-11-20,180
MECH-410-A,Robotics Design,MECH,25,4.3,True,S25,2025-11-05 09:00:00,2025-11-20,20
CS-101-A,Intro to Programming,CS,40,4.4,False,S25,2025-11-05 09:00:00,2025-11-20,18
CS-101-B,Intro to Programming,CS,45,3.6,False,S25,2025-11-05 09:00:00,2025-11-20,54
CS-201-A,Data Structures,CS,35,4.9,False,S25,2025-11-05 09:00:00,2025-11-20,6
CS-201-B,Data Structures,CS,35,3.2,False,S25,2025-11-05 09:00:00,2025-11-20,40
MATH-101-A,Calculus I,MATH,50,4.3,False,S25,2025-11-05 09:00:00,2025-11-20,20
MATH-101-B,Calculus I,MATH,50,,False,S25,2025-11-05 09:00:00,2025-11-20,130
LIT-150-A,Gothic Literature,HUM,30,4.7,True,S25,2025-11-05 09:00:00,2025-11-20,7
